QuestionNumber,QuestionType,QuestionText,OptionA,OptionB,OptionC,OptionD,LeftItems,RightItems,CorrectMatches,Answer 1,Answer 2,Answer 3,BlankAnswers,Explanation
32,multiple-choice,Identify two options for passing data between a Pega application and a webpage containing a web mashup. (Choose Two)  Call the function pega.web.api.doAction() Call a Pega API function from the host server Use REST methods to call Pega microservices Use the attribute data-pega-event-onpagedata,,,,,,,,A,D,,,"A: Calling the function pega.web.api.doAction() allows for specific actions to be performed in the Pega application from the web mashup, such as refreshing a section or submitting an assignment. D: Using the attribute data-pega-event-onpagedata allows for passing data from the web mashup to the Pega application when specific events occur on the page."
33,multiple-choice,Which two configurations do you implement when using a Pega Web Mashup? (Choose Two)  Leverage the standard authentication service IACAuthentication and update the authentication activities. Add an access group for the application rules that need to be accessed from the external system. Configure a node-level data page to hold security access information about the external system. Configure the application permissions by specifying a list of trusted domains in the application rule.,,,,,,,,A,D,,,"A: When using a Pega Web Mashup, leveraging the standard authentication service IACAuthentication and updating the authentication activities to match the external system's requirements is a common practice. D: Configuring application permissions by specifying a list of trusted domains in the application rule is important for security purposes and to control which external domains are allowed to embed the mashup."
34,multiple-choice,Which requirement is a prerequisite for configuring a Pega Web Mashup?  No outstanding Guardrail violations A web server to test your host page At least one work queue in your application At least one Access control policy rule,,,,,,,,B,,,,"A prerequisite for configuring a Pega Web Mashup is having a web server to test your host page. This is because the mashup will be embedded within a webpage, and testing on a web  server ensures that the integration works as expected before going live."
35,multiple-choice,Which two statements are valid regarding Pega Web Mashup? (Choose Two)  Pega Platform limits mashup users to working on existing cases. Mashup requests are checked for the corresponding mashup channel ID parameter. A mashup can allow access to Dev Studio for full system configuration. A user can view their worklist in an external portal and select items on which to take action.,,,,,,,,B,D,,,"B: Mashup requests are checked for the corresponding mashup channel ID parameter to ensure that the request is coming from a trusted source and is intended for the Pega application. D: A user can view their worklist in an external portal and select items on which to take action, which is one of the key features of the Pega Web Mashup as it extends Pega's capabilities to external web pages."
36,multiple-choice,"When deploying mashup code in a webpage, which option is necessary to ensure that Pega Platform accepts incoming requests?  Ensure the host is configured to support HTTPS. Establish a private tunnel from the host to Pega Platform. Enable authentication policies on Pega Platform. Add the host URL in the Pega application.",,,,,,,,D,,,,"When deploying mashup code in a webpage, it is necessary to add the host URL in the Pega application to ensure that Pega Platform accepts incoming requests. This is part of configuring the trusted origins within the application's settings."
37,multiple-choice,"University admission application cases automatically advance in the case life cycle if the applicant's standardized test scores are above a certain threshold. The threshold is determined each year based on the provided national average score. Which two configurations, when applied together, support this requirement? (Choose Two)  Configure a process with a decision shape that continues if the TestThreshold Configuration setting is less than the applicant's test score.  Configure a TestThreshold Configuration setting with the national average for the test score threshold. Configure a TestThreshold Configuration setting that calculates the national average for the test score threshold. Configure a process with a decision shape that continues if the TestThreshold Configuration setting is greater than the applicant's test score.",,,,,,,,A,B,,,A: Configuring a process with a decision shape that continues if the TestThreshold Configuration setting is less than the applicant's test score supports the requirement for automatic case advancement based on standardized test scores. B: Configuring a TestThreshold Configuration setting with the national average for the test score threshold allows for the necessary comparison to determine if a case should advance automatically.
38,multiple-choice,"A view has a part number field that requires the first two characters are letters, and the last four are digits (for example, AB1234). How do you ensure that the correct pattern is entered when the user exits the field?  Configure a validate rule on the flow action to validate the field with boolean logic. Configure an edit validate rule and call it from a validate rule in the relevant flow action. Configure an edit validate rule and reference it from the property rule for the field. Configure a validate rule to use input-qualified validation configuration.",,,,,,,,C,,,,"To ensure that the correct pattern is entered for a part number field, configure an edit validate rule and reference it from the property rule for the field. The edit validate rule can be set up to check that the first two characters are letters and the last four are digits."
39,multiple-choice,"A requirement states that when a case is assigned to a user for review, its work status is set to Open-  Review. Which two steps do you perform to implement this requirement? (Choose Two)  Configure a data transform to apply the Open-Review status on the appropriate assignments. Add Open-Review as an allowed status on the case type record. Create a field value record for the Open-Review status. Apply the Open-Review status to the appropriate assignments.",,,,,,,,A,D,,,A: Configuring a data transform to apply the Open-Review status on the appropriate assignments can be used to change the status of a case when it is assigned to a user for review.  D: Apply the Open-Review status to the appropriate assignments directly within the flow where the assignment is configured.
40,multiple-choice,You should consider using a field value when the list of allowed values is  mostly static three or fewer items specific to one case type shared across all case types,,,,,,,,A,,,,You should consider using a field value when the list of allowed values is mostly static. Field values are best used for properties with values that do not change often and need to be reused throughout the application.
41,multiple-choice,Application Settings allow you to	.  simulate data in an environment for testing purposes automate the application migration process execute connectors in parallel to improve performance store references to an external system connected to an application,,,,,,,,D,,,,"Application Settings allow you to store references to an external system connected to an application. These settings can be used to manage environment-specific parameters such as URLs, file paths, and other data that may vary between development, testing, and production environments."
42,multiple-choice,"Your application is deployed to the cloud. A data source outside your application populates a data page by using your data access pattern configuration. You receive complaints that the system takes a long time to fetch data each time the case worker accesses information for a different customer. Which approach solves this performance issue?  Access data page with a predefined key so that, once loaded, data access is faster. Fetch only the targeted data from the database each time data is needed so access is faster. Change snapshot data access method to reference pattern data access method. Move to local installation because network traffic in cloud deployment is often slow.",,,,,,,,A,,,,"Using a data page with a predefined key enhances performance by leveraging the caching mechanism of Pega. When a data page is loaded with a specific key, it is stored in memory. Subsequent accesses to the data page with the same key do not require fetching the data again from the external data source, significantly reducing the access time. This approach is particularly beneficial in cloud deployments where network latency can impact performance. It ensures that once the data for a particular customer is fetched and stored in the cache, accessing the same customer's information again is much faster, addressing the performance issue reported."
43,multiple-choice,DRAG DROP (Drag and Drop is not supported) Place the steps in the order in which a service processes a request.   See Explanation section for answer.,,,,,,,,A,,,,"Inbound request received Map inbound data Request processing Map outbound data  System returns a response This sequence represents the typical flow of processing an inbound service request, from the initial receipt of the request to the final response after the necessary processing and mapping have been completed."
44,multiple-choice,"To reduce training requirements for users, a company wants to utilize the existing front end of their application. How can a third-party application use Pega Platform?  By using middleware tools in application servers By using database tables for staging the requests By using REST calls from the Pega API By exposing third-party application services",,,,,,,,C,,,,"Integrating a third-party application with Pega Platform can be efficiently achieved through REST calls using the Pega API. This allows for seamless communication between the third- party application's existing front end and Pega's backend processes. The REST API endpoints in Pega Platform enable external applications to interact with Pega applications for operations like case management, assignments, and data retrieval, without requiring significant changes to the existing user interface or user experience. This approach minimizes the need for extensive retraining of users on a new system, leveraging the familiar UI of the existing application."
45,multiple-choice,"You are updating a system of record using a SOAP connector. If the system of record is unavailable, you want to retry after an hour. If it is still unavailable after an hour, a notification should be sent to a system administrator. How do you implement this requirement?  Implement the logic in the data page's response data transform. Implement the logic in the connector's error handler flow. Customize the standard pxErrorHandlingTemplate data transform.  Use a transition condition in the activity step invoking the connector.",,,,,,,,B,,,,"To handle the unavailability of a system of record when using a SOAP connector, the most effective approach is to implement the retry logic in the connector's error handler flow. This flow can be configured to wait for a specified duration (in this case, an hour) before retrying the connection. If the system remains unavailable after the retry, the flow can then proceed to send a notification to the system administrator. This approach encapsulates the error handling logic within the connector's flow, making it reusable and maintainable."
46,multiple-choice,Which statement is true about services?  Services require a REST connector to function. Services return all data in XML format. Services may process outbound requests. Services may use a listener that runs in the background.,,,,,,,,D,,,,"Services in Pega Platform can be configured to listen for incoming requests using background listeners. These listeners are continuously running processes that wait for requests on specific ports or addresses. When a request is received, the service processes it accordingly. This capability is crucial for enabling asynchronous communication and integration with external systems, where Pega services can act upon requests without requiring manual initiation of these interactions."
47,multiple-choice,Which three mobile device features can you leverage by using Pega Mobile Client? (Choose Three)  Barcode scanning Text messages Biometric identification Push notifications Phone calls,"is commonly used in logistics and retail applications for quick identification and tracking of items. Biometric identification (C), such as fingerprint or facial recognition, adds an extra layer of security for user authentication. Push notifications (D) are crucial for real-time communication, alerting users to updates or required actions within the app, even when the app is not actively in use.",,,,,,,A,C,D,,"Pega Mobile Client supports leveraging various mobile device features to enhance app  functionality and user experience. Barcode scanning (A) is commonly used in logistics and retail applications for quick identification and tracking of items. Biometric identification (C), such as fingerprint or facial recognition, adds an extra layer of security for user authentication. Push notifications (D) are crucial for real-time communication, alerting users to updates or required actions within the app, even when the app is not actively in use."
48,multiple-choice,A courier company wants a mobile app to scan and track the parcels collected from remote areas with no internet access. Which mobile app do you develop to fulfill the requirement?  Signed app Unsigned app Native app SDK app,,,,,,,,A,,,,"For a courier company requiring a mobile app to work in remote areas without internet access, a signed app is the best solution. Signed apps are authorized by a certificate authority, ensuring their authenticity and integrity. These apps can be designed to operate in offline mode, storing data locally when there's no internet connection and syncing it back to the server once connectivity is restored. This capability is crucial for field operations in remote areas, ensuring uninterrupted app functionality and data collection."
49,multiple-choice,Which two tasks are required to build a mobile app from a Pega Platform application? (Choose Two)  Create a certificate set. Configure access to the Pega Mobile Build Server. Configure access to Dev Studio. Set up push notifications to developers.,"is essential for securing the app, ensuring that communications between the mobile app and the server are encrypted and authenticated. Configuring access to the Pega Mobile Build Server (B) is necessary for the app build and distribution process, allowing the Pega application to package and deploy mobile",,,,,,,A,B,,,"Building a mobile app from a Pega Platform application requires configuring certain key components for security and connectivity. Creating a certificate set (A) is essential for securing the app, ensuring that communications between the mobile app and the server are encrypted and authenticated. Configuring access to the Pega Mobile Build Server (B) is necessary for the app build and distribution process, allowing the Pega application to package and deploy mobile  apps through Pega's cloud- based build service."
50,multiple-choice,Which two data elements can be used as an attribute for an access control policy? (Choose Two)  Appointment date Number of dependents Password string Encrypted bank account number,"and Number of dependents (B) can be used to define conditions for data access. These attributes can be part of case data or user profiles and serve as criteria for determining access levels. For example, an access control policy can restrict access to certain case information based on the appointment date or allow access to specific functionalities based on the number of dependents associated with a user profile.",,,,,,,A,B,,,"In Access Control Policies, attributes like Appointment date (A) and Number of dependents (B) can be used to define conditions for data access. These attributes can be part of case data or user profiles and serve as criteria for determining access levels. For example, an access control policy can restrict access to certain case information based on the appointment date or allow access to specific functionalities based on the number of dependents associated with a user profile."
51,multiple-choice,Which three options do you consider when deciding to use post-processing actions on a flow action? (Choose Three)  The effect if the flow action is reloaded The sequence in which the system runs different actions The timing of the commit for the flow action The security setting for the flow action The potential reuse of the flow action,"is important because post-processing actions might not execute again, leading to inconsistent data or user experience. The sequence in which the system runs different actions",,,,,,,A,B,C,,"When considering post-processing actions on a flow action, it's crucial to understand their implications on the user experience and system behavior. The effect if the flow action is reloaded (A) is important because post-processing actions might not execute again, leading to inconsistent data or user experience. The sequence in which the system runs different actions is critical to ensure that data transformations and business logic are applied in the correct order, maintaining data integrity and consistency. The timing of the commit for the flow action influences transaction management, ensuring that all changes are saved correctly and that the system maintains data consistency, especially in multi-user environments."
52,multiple-choice,A developer has identified resource-intensive queue processors as the source of performance issues that application users are experiencing. Which two actions do you perform to resolve the performance issues? (Choose Two)  Associate the queue processors with the appropriate node types. Select the Include in background processing option on the application rule. Configure the queue processors to run multiple times a day. Configure the application nodes with node types.,"and that application nodes are configured with node types (D). Associating queue processors with specific node types allows for the distribution of workload across the application infrastructure, optimizing resource utilization and improving performance. Configuring application nodes with node types ensures that tasks are executed on the most suitable nodes, further enhancing system efficiency and scalability.",,,,,,,A,D,,,"To resolve performance issues caused by resource-intensive queue processors, it's essential to ensure that these processors are associated with appropriate node types (A) and that application nodes are configured with node types (D). Associating queue processors with specific node types allows for the distribution of workload across the application infrastructure, optimizing resource utilization and improving performance. Configuring application nodes with node types ensures that tasks are executed on the most suitable nodes, further enhancing system efficiency and scalability."
53,multiple-choice,Which statement regarding managing encrypted data in Pega Platform is true?  Encrypted properties cannot be referenced using filter conditions in reports. Property-level encryption is a time-efficient method to encrypt data. Encrypted properties can be referenced in report definitions. Each organization uses a custom key to encrypt its data.,,,,,,,,A,,,,"Managing encrypted data in Pega Platform comes with certain limitations, one of which is that encrypted properties cannot be referenced using filter conditions in reports (A). This is because the encryption obscures the actual value of the property, making it impossible for the reporting engine to perform comparisons or filtering based on the encrypted data. This limitation is essential for maintaining data security, as it prevents unauthorized access to sensitive information through report queries."
